name,rule34_posts,danbooru_posts
palcomix,15207,50
twistedscarlett60,8109,170
circle_anco,7191,69
kinkymation,6541,998
dandon_fuga,5954,1222
neocoill,5532,1759
boris_(noborhys),5491,2162
sakimichan,4952,1010
pochincoff,4356,715
kurotama,4344,458
azasuke,4259,899
aroma_sensei,4205,476
lolita_channel,3977,1829
lumarianne20,3971,142
butcha-u,3857,1471
gweda,3812,1386
aaaninja,3734,68
bokuman,3716,250
evilaudio,3501,44
saltyxodium,3435,91
zheng,3378,799
thor_(deep_rising),3367,327
blue-senpai,3318,387
afrobull,3279,1221
limebreaker,3128,34
limgae,3120,360
luminyu,3012,353
gerph,3011,60
jtveemo,2933,661
audiodude,2925,119
kagami_hirotaka,2912,1158
aestheticc-meme,2788,698
merunyaa,2773,1526
dagasi,2755,678
incase,2739,339
cyberunique,2704,51
slugbox,2639,2258
flowerxl,2634,181
randomboobguy,2564,536
matemi,2563,283
modeseven,2551,174
shadman,2525,136
captain_kirb,2467,73
lazyprocrastinator,2444,366
ginhaha,2438,1842
sindoll,2351,49
seraziel,2345,953
deilan12,2327,154
nel-zel_formula,2324,37
drawfag,2312,2013
alexander_dinh,2277,299
piromizu,2269,1081
andava,2257,187
supersatanson,2239,123
belko,2236,1819
mizumizuni,2195,1293
lindaroze,2190,678
kelvin_hiu,2165,553
fellatrix,2159,162
m-da_s-tarou,2146,2001
diives,2118,286
aka6,2115,116
mogudan,2091,964
the_dark_mangaka,2049,76
tofuubear,2011,855
shexyo,2010,516
aster_crowley,2002,702
exlic,1999,531
blackwhiplash,1998,40
the_other_half,1964,33
whisperfoot,1958,34
iwao178,1958,231
ringsel,1951,98
jmg,1920,1073
maku_(l-u),1896,84
ttrop,1884,73
fugtrup,1868,104
reit,1867,54
nayaase_beleguii,1859,35
spidu,1855,288
jadenkaiba,1854,308
kunaboto,1834,121
sinensian,1830,331
beruzumi-m,1793,69
unfairr,1785,788
lexus_(artist),1778,34
volkor,1768,316
konpeto,1757,734
mazjojo,1745,545
d-art,1742,82
reiq,1730,265
doxy,1721,304
borvar,1702,114
ratatatat74,1698,388
monaka_(gatinemiku),1689,138
pewposterous,1639,38
nyuunzi,1637,72
radlionheart,1622,70
lightsource,1613,387
sano_toshihide,1612,898
g_kilo-byte,1584,89
ayanakitori,1577,224
crimson_comics,1558,232
cutesexyrobutts,1558,1405
bluethebone,1556,488
sana!rpg,1533,171
neoartcore,1528,775
araneesama,1526,366
murakami_teruaki,1517,84
kuromine_hiraya,1507,38
ganassa,1506,198
bikupan,1498,92
happoubi_jin,1497,1271
